2019_country_code,Country,2019_income_group,2019_total_gdp,2019_total_gdp_million,2019_gdp_variation
ABW,Aruba,Ingreso Alto,3395798882.68156,3395.79888268156,-2.23244039160568
AFG,Afghanistan,Países De Ingreso Bajo,18799444490.1128,18799.4444901128,3.91160341625552
AGO,Angola,Países De Ingreso Mediano Bajo,70897962732.0277,70897.96273202769,-0.702272957616017
ALB,Albania,Ingreso Mediano Alto,15585105131.0644,15585.1051310644,2.06256753999989
AND,Andorra,Ingreso Alto,3155149347.80639,3155.14934780639,2.01554763848308
ARE,United Arab Emirates,Ingreso Alto,417989721734.494,417989.721734494,1.10834813893099
ARG,Argentina,Ingreso Mediano Alto,447754683615.225,447754.68361522496,-2.00086100285785
ARM,Armenia,Ingreso Mediano Alto,13619290539.2116,13619.2905392116,7.59999999853918
ASM,American Samoa,Ingreso Alto,647000000.0,647.0,-0.487804878048777
ATG,Antigua And Barbuda,Ingreso Alto,1725351851.85185,1725.35185185185,3.10044514982847
AUS,Australia,Ingreso Alto,1392723834562.64,1392723.83456264,2.17154505737176
AUT,Austria,Ingreso Alto,442983642371.842,442983.642371842,1.7549764558533
AZE,Azerbaijan,Ingreso Mediano Alto,48174235294.1176,48174.2352941176,2.50000006743734
BDI,Burundi,Países De Ingreso Bajo,2576518879.82353,2576.5188798235304,1.81256532401552
BEL,Belgium,Ingreso Alto,536726344405.489,536726.344405489,2.44289006648609
BEN,Benin,Países De Ingreso Mediano Bajo,14391686309.033,14391.686309033,6.86568662848335
BFA,Burkina Faso,Países De Ingreso Bajo,16032813503.3707,16032.8135033707,5.88920497068135
BGD,Bangladesh,Países De Ingreso Mediano Bajo,351231654603.692,351231.654603692,7.88191515117722
BGR,Bulgaria,Ingreso Alto,68631726289.2794,68631.72628927941,3.78885036478003
BHR,Bahrain,Ingreso Alto,40446808510.6383,40446.8085106383,2.05287774418655
BHS,Bahamas,Ingreso Alto,13016200000.0,13016.2,-1.35726520928898
BIH,Bosnia And Herzegovina,Ingreso Mediano Alto,20482608755.379,20482.608755379,2.88734334414875
BLR,Belarus,Ingreso Mediano Alto,64410122847.3508,64410.1228473508,1.44645547691826
BLZ,Belize,Ingreso Mediano Alto,2388300000.0,2388.3,4.26763689618086
BMU,Bermuda,Ingreso Alto,7423465000.0,7423.465,0.306266735233933
BOL,Bolivia (Plurinational State Of),Países De Ingreso Mediano Bajo,40895322843.7851,40895.3228437851,2.21670577750359
BRA,Brazil,Ingreso Mediano Alto,1873288205186.45,1873288.20518645,1.22077782360842
BRB,Barbados,Ingreso Alto,5788288000.0,5788.288,0.652585417698418
BRN,Brunei Darussalam,Ingreso Alto,13469235348.2211,13469.2353482211,3.86884416432889
BTN,Bhutan,Países De Ingreso Mediano Bajo,2735683570.28851,2735.68357028851,5.75514850618227
BWA,Botswana,Ingreso Mediano Alto,16725908148.5481,16725.9081485481,3.0322025744566
CAF,Central African Republic,Países De Ingreso Bajo,2221301351.43918,2221.30135143918,3.09999999999999
CAN,Canada,Ingreso Alto,1743725183672.52,1743725.18367252,1.9084319253883
CHE,Switzerland,Ingreso Alto,721369112726.724,721369.112726724,1.14198232505277
CHL,Chile,Ingreso Alto,278285058719.466,278285.058719466,0.634367533828438
CHN,China,Ingreso Mediano Alto,14279968506271.7,14279968.5062717,5.95050075367413
CIV,Côte D'Ivoire,Países De Ingreso Mediano Bajo,60382894697.3557,60382.894697355696,6.72137167584978
CMR,Cameroon,Países De Ingreso Mediano Bajo,39667757527.6578,39667.7575276578,3.47505998194981
COD,"Congo, Democratic Republic Of The",Países De Ingreso Bajo,51775829877.2088,51775.8298772088,4.38452887429834
COG,Congo,Países De Ingreso Mediano Bajo,13976637779.9763,13976.6377799763,1.12447391976529
COL,Colombia,Ingreso Mediano Alto,323031701192.84,323031.70119284,3.18685539245533
COM,Comoros,Países De Ingreso Mediano Bajo,1195019531.9011,1195.0195319011,1.76078023923176
CPV,Cabo Verde,Países De Ingreso Mediano Bajo,2252177133.74705,2252.17713374705,6.94782634051859
CRI,Costa Rica,Ingreso Mediano Alto,64417670521.3545,64417.6705213545,2.41751181762513
CUB,Cuba,Ingreso Mediano Alto,103427600000.0,103427.6,-0.163087223606624
CUW,Curaçao,Ingreso Alto,3026124134.07821,3026.12413407821,-3.20613219619177
CYM,Cayman Islands,Ingreso Alto,5941896607.58643,5941.89660758643,3.91563534249416
CYP,Cyprus,Ingreso Alto,26196667099.5303,26196.6670995303,5.87559123003267
CZE,Czechia,Ingreso Alto,256794209028.77,256794.20902877,3.56577657204843
DEU,Germany,Ingreso Alto,3957208055215.68,3957208.05521568,0.987893349167578
DJI,Djibouti,Países De Ingreso Mediano Bajo,3088853638.56832,3088.85363856832,5.5451305999467
DMA,Dominica,Ingreso Mediano Alto,611537037.037037,611.5370370370371,5.5024834367041
DNK,Denmark,Ingreso Alto,345401473012.615,345401.473012615,1.7114009439059
DOM,Dominican Republic,Ingreso Mediano Alto,88941372558.2397,88941.3725582397,5.05216802016253
DZA,Algeria,Ingreso Mediano Alto,193459662090.677,193459.662090677,0.899999999999949
ECU,Ecuador,Ingreso Mediano Alto,107595829000.0,107595.829,0.165403532646692
EGY,Egypt,Países De Ingreso Mediano Bajo,318678815489.749,318678.815489749,5.55209307156956
ERI,Eritrea,Países De Ingreso Bajo,0.0,0.0,0.0
ESP,Spain,Ingreso Alto,1403496387686.27,1403496.38768627,1.9611785315135
EST,Estonia,Ingreso Alto,31873748770.0313,31873.7487700313,3.72665318178397
ETH,Ethiopia,Países De Ingreso Bajo,95912607722.3032,95912.6077223032,8.3640856990789
FIN,Finland,Ingreso Alto,267014821129.411,267014.821129411,1.34973843826123
FJI,Fiji,Ingreso Mediano Alto,5444407214.31758,5444.40721431758,-0.581946371012094
FRA,France,Ingreso Alto,2722793515171.76,2722793.51517176,2.02744647639635
