2021_country_code,Country,2021_income_group,2021_total_gdp_million,2021_porcentaje
ABW,Aruba,Ingreso Alto,2929.44657825104,0.01
AFG,Afghanistan,Países De Ingreso Bajo,14259.995441075898,0.06
AGO,Angola,Países De Ingreso Mediano Bajo,66505.1299877235,0.28
ALB,Albania,Ingreso Mediano Alto,18032.0105637558,0.08
AND,Andorra,Ingreso Alto,3324.647529381,0.01
ARE,United Arab Emirates,Ingreso Alto,415178.792769884,1.75
ARG,Argentina,Ingreso Mediano Alto,486564.085480036,2.05
ARM,Armenia,Ingreso Mediano Alto,13878.9086289378,0.06
ASM,American Samoa,Ingreso Alto,750.0,0.0
ATG,Antigua And Barbuda,Ingreso Alto,1601.36666666667,0.01
AUS,Australia,Ingreso Alto,1556735.77043726,6.57
AUT,Austria,Ingreso Alto,480467.03733878303,2.03
AZE,Azerbaijan,Ingreso Mediano Alto,54825.4117647059,0.23
BDI,Burundi,Países De Ingreso Bajo,2775.79869746022,0.01
BEL,Belgium,Ingreso Alto,598494.036474409,2.53
BEN,Benin,Países De Ingreso Mediano Bajo,17690.0835199323,0.07
BFA,Burkina Faso,Países De Ingreso Bajo,19697.5162843787,0.08
BGD,Bangladesh,Países De Ingreso Mediano Bajo,416271.647911014,1.76
BGR,Bulgaria,Ingreso Alto,84417.9512608091,0.36
BHR,Bahrain,Ingreso Alto,40840.2127659574,0.17
BHS,Bahamas,Ingreso Alto,11368.9,0.05
BIH,Bosnia And Herzegovina,Ingreso Mediano Alto,23672.7122422149,0.1
BLR,Belarus,Ingreso Mediano Alto,69673.74713187,0.29
BLZ,Belize,Ingreso Mediano Alto,2420.55,0.01
BMU,Bermuda,Ingreso Alto,7286.607,0.03
BOL,Bolivia (Plurinational State Of),Países De Ingreso Mediano Bajo,40406.111695179,0.17
BRA,Brazil,Ingreso Mediano Alto,1670647.39903467,7.05
BRB,Barbados,Ingreso Alto,5275.24205,0.02
BRN,Brunei Darussalam,Ingreso Alto,14006.4966143195,0.06
BTN,Bhutan,Países De Ingreso Mediano Bajo,2768.80295960794,0.01
BWA,Botswana,Ingreso Mediano Alto,18750.9466001423,0.08
CAF,Central African Republic,Países De Ingreso Bajo,2516.49841246384,0.01
CAN,Canada,Ingreso Alto,2007472.1814641496,8.48
CHE,Switzerland,Ingreso Alto,813408.787222499,3.43
CHL,Chile,Ingreso Alto,315515.014838539,1.33
CHN,China,Ingreso Mediano Alto,17820459.5088522,75.25
CIV,Côte D'Ivoire,Países De Ingreso Mediano Bajo,72794.6366537793,0.31
CMR,Cameroon,Países De Ingreso Mediano Bajo,45011.9373468384,0.19
COD,"Congo, Democratic Republic Of The",Países De Ingreso Bajo,55328.4827835393,0.23
COG,Congo,Países De Ingreso Mediano Bajo,14825.690210915702,0.06
COL,Colombia,Ingreso Mediano Alto,318524.633225395,1.35
COM,Comoros,Países De Ingreso Mediano Bajo,1296.08947991978,0.01
CPV,Cabo Verde,Países De Ingreso Mediano Bajo,2051.84260964558,0.01
CRI,Costa Rica,Ingreso Mediano Alto,64960.7257341965,0.27
CUB,Cuba,Ingreso Mediano Alto,0.0,0.0
CUW,Curaçao,Ingreso Alto,2739.60815642458,0.01
CYM,Cayman Islands,Ingreso Alto,6060.02652010608,0.03
CYP,Cyprus,Ingreso Alto,30372.874319628503,0.13
CZE,Czechia,Ingreso Alto,290972.71448231296,1.23
DEU,Germany,Ingreso Alto,4348297.440387529,18.36
DJI,Djibouti,Países De Ingreso Mediano Bajo,3385.82522886997,0.01
DMA,Dominica,Ingreso Mediano Alto,555.266666666667,0.0
DNK,Denmark,Ingreso Alto,408378.204639999,1.72
DOM,Dominican Republic,Ingreso Mediano Alto,94243.4259383647,0.4
DZA,Algeria,Ingreso Mediano Alto,186231.205262082,0.79
ECU,Ecuador,Ingreso Mediano Alto,107435.101,0.45
EGY,Egypt,Países De Ingreso Mediano Bajo,424671.765455704,1.79
ERI,Eritrea,Países De Ingreso Bajo,0.0,0.0
ESP,Spain,Ingreso Alto,1461244.90185269,6.17
EST,Estonia,Ingreso Alto,37204.56305147229,0.16
ETH,Ethiopia,Países De Ingreso Bajo,111261.882958426,0.47
FIN,Finland,Ingreso Alto,294223.210496119,1.24
FJI,Fiji,Ingreso Mediano Alto,4305.03163081808,0.02
FRA,France,Ingreso Alto,2966433.6920080897,12.53
FRO,Faroe Islands,Ingreso Alto,3664.68679662669,0.02
FSM,Micronesia (Federated States Of),Países De Ingreso Mediano Bajo,390.0,0.0
GAB,Gabon,Ingreso Mediano Alto,19444.935097239497,0.08
GBR,United Kingdom Of Great Britain And Northern Ireland,Ingreso Alto,3143323.05070726,13.27
GEO,Georgia,Ingreso Mediano Alto,18853.1155888106,0.08
GHA,Ghana,Países De Ingreso Mediano Bajo,79524.42186127431,0.34
GIB,Gibraltar,Ingreso Alto,0.0,0.0
GIN,Guinea,Países De Ingreso Mediano Bajo,17069.115737825898,0.07
GMB,Gambia,Países De Ingreso Bajo,2014.15884214596,0.01
GNB,Guinea-Bissau,Países De Ingreso Bajo,1853.79645589489,0.01
GNQ,Equatorial Guinea,Ingreso Mediano Alto,12215.8780327166,0.05
GRC,Greece,Ingreso Alto,218303.801895326,0.92
GRD,Grenada,Ingreso Mediano Alto,1122.8,0.0
GRL,Greenland,Ingreso Alto,3235.8095042987097,0.01
GTM,Guatemala,Ingreso Mediano Alto,86478.8356363813,0.37
GUM,Guam,Ingreso Alto,6234.0,0.03
GUY,Guyana,Ingreso Alto,8041.36389304556,0.03
HKG,Hong Kong,Ingreso Alto,368954.169748818,1.56
HND,Honduras,Países De Ingreso Mediano Bajo,28144.331506614897,0.12
HRV,Croatia,Ingreso Alto,69006.8022986956,0.29
HTI,Haiti,Países De Ingreso Mediano Bajo,20877.4149526375,0.09
HUN,Hungary,Ingreso Alto,182109.99947769105,0.77
IDN,Indonesia,Ingreso Mediano Alto,1186509.69107097,5.01
IMN,Isle Of Man,Ingreso Alto,7931.19322206405,0.03
IND,India,Países De Ingreso Mediano Bajo,3167270.62326047,13.37
IRL,Ireland,Ingreso Alto,531306.516907984,2.24
IRN,Iran (Islamic Republic Of),Ingreso Mediano Alto,383436.202446695,1.62
IRQ,Iraq,Ingreso Mediano Alto,209691.945713103,0.89
ISL,Iceland,Ingreso Alto,25825.287184381803,0.11
ISR,Israel,Ingreso Alto,489708.27889305295,2.07
ITA,Italy,Ingreso Alto,2179207.7735960903,9.2
JAM,Jamaica,Ingreso Mediano Alto,14657.5861270331,0.06
JOR,Jordan,Países De Ingreso Mediano Bajo,46296.1001408451,0.2
JPN,Japan,Ingreso Alto,5034620.78458498,21.26
KAZ,Kazakhstan,Ingreso Mediano Alto,197112.255360612,0.83
KEN,Kenya,Países De Ingreso Mediano Bajo,109703.658904994,0.46
KGZ,Kyrgyzstan,Países De Ingreso Mediano Bajo,9249.13394626531,0.04
KHM,Cambodia,Países De Ingreso Mediano Bajo,36790.1636874421,0.16
KIR,Kiribati,Países De Ingreso Mediano Bajo,289.33929215730103,0.0
KNA,Saint Kitts And Nevis,Ingreso Alto,858.6222222222219,0.0
KOR,"Korea, Republic Of",Ingreso Alto,1818432.10688004,7.68
KWT,Kuwait,Ingreso Alto,148459.291453471,0.63
LAO,Lao People'S Democratic Republic,Países De Ingreso Mediano Bajo,18827.1485309347,0.08
LBN,Lebanon,Países De Ingreso Mediano Bajo,23131.941556784303,0.1
LBR,Liberia,Países De Ingreso Bajo,3513.0495,0.01
LBY,Libya,Ingreso Mediano Alto,35217.9956472862,0.15
LCA,Saint Lucia,Ingreso Mediano Alto,1867.18518518518,0.01
LIE,Liechtenstein,Ingreso Alto,7710.38008592257,0.03
LKA,Sri Lanka,Países De Ingreso Mediano Bajo,88609.32490197741,0.37
LSO,Lesotho,Países De Ingreso Mediano Bajo,2412.1300565585098,0.01
LTU,Lithuania,Ingreso Alto,67037.3210089679,0.28
LUX,Luxembourg,Ingreso Alto,85584.1059938746,0.36
LVA,Latvia,Ingreso Alto,38185.1257329451,0.16
MAC,Macao,Ingreso Alto,30969.334705051497,0.13
MAF,Saint Martin (French Part),Ingreso Alto,649.206262847519,0.0
MAR,Morocco,Países De Ingreso Mediano Bajo,142022.058447231,0.6
MCO,Monaco,Ingreso Alto,8623.242743295641,0.04
MDA,"Moldova, Republic Of",Ingreso Mediano Alto,13691.8692640794,0.06
MDG,Madagascar,Países De Ingreso Bajo,14554.7541165427,0.06
MDV,Maldives,Ingreso Mediano Alto,5252.45736955218,0.02
MEX,Mexico,Ingreso Mediano Alto,1316569.46693259,5.56
MHL,Marshall Islands,Ingreso Mediano Alto,258.9,0.0
MKD,North Macedonia,Ingreso Mediano Alto,14000.2838270154,0.06
MLI,Mali,Países De Ingreso Bajo,19309.4635080377,0.08
MLT,Malta,Ingreso Alto,19718.565605433,0.08
MMR,Myanmar,Países De Ingreso Mediano Bajo,66345.2911601683,0.28
MNE,Montenegro,Ingreso Mediano Alto,5861.427505124931,0.02
MNG,Mongolia,Ingreso Mediano Alto,15286.4417376686,0.06
MNP,Northern Mariana Islands,Ingreso Alto,914.0,0.0
MOZ,Mozambique,Países De Ingreso Bajo,16168.0554754449,0.07
MRT,Mauritania,Países De Ingreso Mediano Bajo,9222.53636401272,0.04
MUS,Mauritius,Ingreso Mediano Alto,11484.3488578529,0.05
MWI,Malawi,Países De Ingreso Bajo,12378.1297509872,0.05
MYS,Malaysia,Ingreso Mediano Alto,373784.823672946,1.58
NAM,Namibia,Ingreso Mediano Alto,12402.4861836396,0.05
NCL,New Caledonia,Ingreso Alto,10071.3496638484,0.04
NER,Niger,Países De Ingreso Bajo,14915.002436069,0.06
NGA,Nigeria,Países De Ingreso Mediano Bajo,440833.63587382704,1.86
NIC,Nicaragua,Países De Ingreso Mediano Bajo,14144.0608531362,0.06
NLD,Netherlands,Ingreso Alto,1054472.1234496,4.45
NOR,Norway,Ingreso Alto,503367.986030268,2.13
NPL,Nepal,Países De Ingreso Mediano Bajo,36924.8413942605,0.16
NRU,Nauru,Ingreso Alto,175.513984500084,0.0
NZL,New Zealand,Ingreso Alto,253644.079784977,1.07
OMN,Oman,Ingreso Alto,87323.7971391417,0.37
PAK,Pakistan,Países De Ingreso Mediano Bajo,348516.64744514803,1.47
PAN,Panama,Ingreso Alto,67396.3925,0.28
PER,Peru,Ingreso Mediano Alto,226354.27828088505,0.96
PHL,Philippines,Países De Ingreso Mediano Bajo,394087.35984811,1.66
PLW,Palau,Ingreso Alto,235.75290625,0.0
PNG,Papua New Guinea,Países De Ingreso Mediano Bajo,26109.413522308103,0.11
POL,Poland,Ingreso Alto,689170.23066535,2.91
PRI,Puerto Rico,Ingreso Alto,106426.6,0.45
PRK,Korea (Democratic People'S Republic Of),Países De Ingreso Bajo,0.0,0.0
PRT,Portugal,Ingreso Alto,256055.879091139,1.08
PRY,Paraguay,Ingreso Mediano Alto,39950.8999387482,0.17
PSE,"Palestine, State Of",Países De Ingreso Mediano Bajo,18109.0,0.08
PYF,French Polynesia,Ingreso Alto,6150.64064638319,0.03
QAT,Qatar,Ingreso Alto,179732.009554846,0.76
ROU,Romania,Ingreso Alto,286578.196368297,1.21
RUS,Russian Federation,Ingreso Alto,1843392.29373438,7.78
RWA,Rwanda,Países De Ingreso Bajo,11069.280649645902,0.05
SAU,Saudi Arabia,Ingreso Alto,874156.0,3.69
SDN,Sudan,Países De Ingreso Bajo,34229.5137749936,0.14
SEN,Senegal,Países De Ingreso Mediano Bajo,27520.7841297508,0.12
SGP,Singapore,Ingreso Alto,434111.559282849,1.83
SLB,Solomon Islands,Países De Ingreso Mediano Bajo,1522.7949130913998,0.01
SLE,Sierra Leone,Países De Ingreso Bajo,7165.21436764956,0.03
SLV,El Salvador,Ingreso Mediano Alto,29043.14,0.12
SMR,San Marino,Ingreso Alto,1855.39599976534,0.01
SOM,Somalia,Países De Ingreso Bajo,9483.99740425227,0.04
