Rank,Country,2019_Rank,2019_Score,2019_country_code,2019_income_group,2019_total_gdp_million,2020_Rank,2020_Score,2020_country_code,2020_income_group,2020_total_gdp_million,2021_Rank,2021_Score,2021_country_code,2021_income_group,2021_total_gdp_million,2022_Rank,2022_Score,2022_country_code,2022_income_group,2022_total_gdp_million,2023_Rank,2023_Score,2023_country_code,2023_income_group,2023_total_gdp_million,2024_Rank,2024_Score,2019_porcentaje
0,Afghanistan,121.0,63.45,AFG,Países De Ingreso Bajo,18799.4444901128,122.0,62.3,AFG,Países De Ingreso Bajo,19955.9290521496,122.0,59.81,AFG,Países De Ingreso Bajo,14259.995441075898,156.0,38.27,AFG,Países De Ingreso Bajo,14497.2438721337,152.0,39.75,AFG,Países De Ingreso Bajo,17233.0516201117,178.0,19.09,0.13
1,Albania,82.0,70.16,ALB,Ingreso Mediano Alto,15585.1051310644,84.0,69.75,ALB,Ingreso Mediano Alto,15241.4587448688,83.0,69.41,ALB,Ingreso Mediano Alto,18032.0105637558,103.0,56.41,ALB,Ingreso Mediano Alto,19017.2425857803,96.0,57.86,ALB,Ingreso Mediano Alto,23547.1798304413,99.0,54.1,0.11
2,Algeria,141.0,54.25,DZA,Ingreso Mediano Alto,193459.662090677,146.0,54.48,DZA,Ingreso Mediano Alto,164873.415325201,146.0,52.74,DZA,Ingreso Mediano Alto,186231.205262082,134.0,45.53,DZA,Ingreso Mediano Alto,225638.456572143,136.0,45.74,DZA,Ingreso Mediano Alto,247626.161016414,139.0,41.98,1.35
3,Andorra,37.0,75.37,AND,Ingreso Alto,3155.14934780639,37.0,76.77,AND,Ingreso Alto,2891.0011493611,39.0,76.68,AND,Ingreso Alto,3324.647529381,53.0,68.79,AND,Ingreso Alto,3380.61257332922,37.0,75.05,AND,Ingreso Alto,3785.0673317625,72.0,61.44,0.02
4,Angola,109.0,65.04,AGO,Países De Ingreso Mediano Bajo,70897.96273202769,106.0,66.08,AGO,Países De Ingreso Mediano Bajo,48501.561203568606,103.0,65.94,AGO,Países De Ingreso Mediano Bajo,66505.1299877235,99.0,57.17,AGO,Países De Ingreso Mediano Bajo,104399.746853401,125.0,48.3,AGO,Países De Ingreso Mediano Bajo,84824.6544817249,104.0,52.44,0.5
5,Argentina,57.0,71.7,ARG,Ingreso Mediano Alto,447754.68361522496,64.0,71.22,ARG,Ingreso Mediano Alto,385740.508436965,69.0,71.01,ARG,Ingreso Mediano Alto,486564.085480036,29.0,77.28,ARG,Ingreso Mediano Alto,632790.0700631241,40.0,73.36,ARG,Ingreso Mediano Alto,646075.277525125,66.0,63.13,3.14
6,Armenia,61.0,71.02,ARM,Ingreso Mediano Alto,13619.2905392116,61.0,71.4,ARM,Ingreso Mediano Alto,12641.6985832152,63.0,71.17,ARM,Ingreso Mediano Alto,13878.9086289378,51.0,68.97,ARM,Ingreso Mediano Alto,19513.5065531251,48.0,70.61,ARM,Ingreso Mediano Alto,24085.7495923359,43.0,71.6,0.1
7,Australia,21.0,83.45,AUS,Ingreso Alto,1392723.83456264,26.0,79.79,AUS,Ingreso Alto,1328414.0583783798,25.0,80.21,AUS,Ingreso Alto,1556735.77043726,39.0,73.77,AUS,Ingreso Alto,1690858.24699443,27.0,78.24,AUS,Ingreso Alto,1728057.31669561,39.0,73.42,9.75
8,Austria,16.0,84.67,AUT,Ingreso Alto,442983.642371842,18.0,84.22,AUT,Ingreso Alto,434397.601557696,17.0,83.66,AUT,Ingreso Alto,480467.03733878303,31.0,76.74,AUT,Ingreso Alto,471773.62983038096,29.0,77.3,AUT,Ingreso Alto,511685.203845001,32.0,74.69,3.1
9,Azerbaijan,166.0,40.87,AZE,Ingreso Mediano Alto,48174.2352941176,168.0,41.52,AZE,Ingreso Mediano Alto,42693.0,167.0,41.23,AZE,Ingreso Mediano Alto,54825.4117647059,154.0,39.4,AZE,Ingreso Mediano Alto,78807.4705882353,151.0,39.93,AZE,Ingreso Mediano Alto,72356.1764705882,164.0,27.99,0.34
