country_code;Country;2019_income_group;2019_total_gdp;2020_income_group;2020_total_gdp;2021_income_group;2021_total_gdp;2022_income_group;2022_total_gdp;2023_income_group;2023_total_gdp
ABW;Aruba;INGRESO ALTO;3395798883;INGRESO ALTO;2481857123;INGRESO ALTO;2929446578;INGRESO ALTO;3279343544;INGRESO ALTO;3648573136
AFG;Afghanistan;PAÍSES DE INGRESO BAJO;18799444490;PAÍSES DE INGRESO BAJO;19955929052;PAÍSES DE INGRESO BAJO;14259995441;PAÍSES DE INGRESO BAJO;14497243872;PAÍSES DE INGRESO BAJO;17233051620
AGO;Angola;PAÍSES DE INGRESO MEDIANO BAJO;70897962732;PAÍSES DE INGRESO MEDIANO BAJO;48501561204;PAÍSES DE INGRESO MEDIANO BAJO;66505129988;PAÍSES DE INGRESO MEDIANO BAJO;104399746853;PAÍSES DE INGRESO MEDIANO BAJO;84824654482
ALB;Albania;INGRESO MEDIANO ALTO;15585105131;INGRESO MEDIANO ALTO;15241458745;INGRESO MEDIANO ALTO;18032010564;INGRESO MEDIANO ALTO;19017242586;INGRESO MEDIANO ALTO;23547179830
AND;Andorra;INGRESO ALTO;3155149348;INGRESO ALTO;2891001149;INGRESO ALTO;3324647529;INGRESO ALTO;3380612573;INGRESO ALTO;3785067332
ARE;United arab emirates;INGRESO ALTO;417989721734;INGRESO ALTO;349473015337;INGRESO ALTO;415178792770;INGRESO ALTO;502731935197;INGRESO ALTO;514130432653
ARG;Argentina;INGRESO MEDIANO ALTO;447754683615;INGRESO MEDIANO ALTO;385740508437;INGRESO MEDIANO ALTO;486564085480;INGRESO MEDIANO ALTO;632790070063;INGRESO MEDIANO ALTO;646075277525
ARM;Armenia;INGRESO MEDIANO ALTO;13619290539;INGRESO MEDIANO ALTO;12641698583;INGRESO MEDIANO ALTO;13878908629;INGRESO MEDIANO ALTO;19513506553;INGRESO MEDIANO ALTO;24085749592
ASM;American samoa;INGRESO ALTO;647000000;INGRESO ALTO;721000000;INGRESO ALTO;750000000;INGRESO ALTO;871000000;INGRESO ALTO;0
ATG;Antigua and barbuda;INGRESO ALTO;1725351852;INGRESO ALTO;1410796296;INGRESO ALTO;1601366667;INGRESO ALTO;1867733333;INGRESO ALTO;2033085185
AUS;Australia;INGRESO ALTO;1392723834563;INGRESO ALTO;1328414058378;INGRESO ALTO;1556735770437;INGRESO ALTO;1690858246994;INGRESO ALTO;1728057316696
AUT;Austria;INGRESO ALTO;442983642372;INGRESO ALTO;434397601558;INGRESO ALTO;480467037339;INGRESO ALTO;471773629830;INGRESO ALTO;511685203845
AZE;Azerbaijan;INGRESO MEDIANO ALTO;48174235294;INGRESO MEDIANO ALTO;42693000000;INGRESO MEDIANO ALTO;54825411765;INGRESO MEDIANO ALTO;78807470588;INGRESO MEDIANO ALTO;72356176471
BDI;Burundi;PAÍSES DE INGRESO BAJO;2576518880;PAÍSES DE INGRESO BAJO;2649680261;PAÍSES DE INGRESO BAJO;2775798697;PAÍSES DE INGRESO BAJO;3338722828;PAÍSES DE INGRESO BAJO;2642161669
BEL;Belgium;INGRESO ALTO;536726344405;INGRESO ALTO;529694473502;INGRESO ALTO;598494036474;INGRESO ALTO;593438820508;INGRESO ALTO;644782756683
BEN;Benin;PAÍSES DE INGRESO MEDIANO BAJO;14391686309;PAÍSES DE INGRESO MEDIANO BAJO;15651545209;PAÍSES DE INGRESO MEDIANO BAJO;17690083520;PAÍSES DE INGRESO MEDIANO BAJO;17401746309;PAÍSES DE INGRESO MEDIANO BAJO;19676049076
BFA;Burkina faso;PAÍSES DE INGRESO BAJO;16032813503;PAÍSES DE INGRESO BAJO;17725010533;PAÍSES DE INGRESO BAJO;19697516284;PAÍSES DE INGRESO BAJO;18820218691;PAÍSES DE INGRESO BAJO;20324617845
BGD;Bangladesh;PAÍSES DE INGRESO MEDIANO BAJO;351231654604;PAÍSES DE INGRESO MEDIANO BAJO;373979442362;PAÍSES DE INGRESO MEDIANO BAJO;416271647911;PAÍSES DE INGRESO MEDIANO BAJO;460131688909;PAÍSES DE INGRESO MEDIANO BAJO;437415331041
BGR;Bulgaria;INGRESO ALTO;68631726289;INGRESO ALTO;70716821235;INGRESO ALTO;84417951261;INGRESO ALTO;90642851836;INGRESO ALTO;102407653021
BHR;Bahrain;INGRESO ALTO;40446808511;INGRESO ALTO;35837632979;INGRESO ALTO;40840212766;INGRESO ALTO;46680398936;INGRESO ALTO;46079867021
BHS;Bahamas;INGRESO ALTO;13016200000;INGRESO ALTO;9958200000;INGRESO ALTO;11368900000;INGRESO ALTO;13136400000;INGRESO ALTO;14338500000
BIH;Bosnia and herzegovina;INGRESO MEDIANO ALTO;20482608755;INGRESO MEDIANO ALTO;20226036564;INGRESO MEDIANO ALTO;23672712242;INGRESO MEDIANO ALTO;24534663636;INGRESO MEDIANO ALTO;27514782476
BLR;Belarus;INGRESO MEDIANO ALTO;64410122847;INGRESO MEDIANO ALTO;61371755326;INGRESO MEDIANO ALTO;69673747132;INGRESO MEDIANO ALTO;73775179925;INGRESO MEDIANO ALTO;71857382746
