ranking;Country;2019_Rank;2019_Score;2020_Rank;2020_Score;2021_Rank;2021_Score;2022_Rank;2022_Score;2023_Rank;2023_Score;2024_Rank;2024_Score
0;Afghanistan;121;63;122;62;122;60;156;38;152;40;178;19
1;Albania;82;70;84;70;83;69;103;56;96;58;99;54
2;Algeria;141;54;146;54;146;53;134;46;136;46;139;42
3;Andorra;37;75;37;77;39;77;53;69;37;75;72;61
4;Angola;109;65;106;66;103;66;99;57;125;48;104;52
5;Argentina;57;72;64;71;69;71;29;77;40;73;66;63
6;Armenia;61;71;61;71;63;71;51;69;48;71;43;72
7;Australia;21;83;26;80;25;80;39;74;27;78;39;73
8;Austria;16;85;18;84;17;84;31;77;29;77;32;75
9;Azerbaijan;166;41;168;42;167;41;154;39;151;40;164;28
10;Bahrain;167;39;169;40;168;39;167;31;171;31;173;23
11;Bangladesh;150;49;151;51;152;50;162;37;163;35;165;28
12;Belarus;153;48;153;50;158;49;153;40;157;37;167;27
13;Belgium;9;88;12;87;11;88;23;79;31;76;16;81
14;Belize;53;72;53;72;53;72;47;71;51;70;54;67
15;Benin;96;68;113;65;114;62;121;48;112;52;89;57
16;Bhutan;80;70;67;71;65;71;33;76;90;59;147;37
17;Bolivia (plurinational state of);113;65;114;65;110;65;126;48;117;51;124;49
18;Bosnia and herzegovina;63;71;58;71;58;72;67;66;64;65;81;59
19;Botswana;44;75;39;76;38;77;95;58;65;65;79;60
20;Brazil;105;67;107;66;111;64;110;55;92;59;82;59
21;Brunei darussalam;152;49;152;50;154;50;144;43;142;44;117;50
22;Bulgaria;111;65;111;65;112;63;91;59;71;63;59;65
23;Burkina faso;36;75;38;77;37;77;41;73;58;68;86;58
24;Burundi;159;47;160;45;147;52;107;56;114;52;108;52
25;Cambodia;143;54;144;55;144;53;142;43;147;42;151;34
26;Cameroon;131;57;134;57;135;56;118;49;138;46;130;45
27;Canada;18;84;16;85;13;85;19;82;15;84;14;82
28;Cape Verde;25;80;25;80;27;80;36;75;33;76;41;73
29;Central african republic;145;53;132;57;126;58;101;57;98;58;76;60
30;Chad;122;63;123;60;123;60;104;56;109;54;96;55
31;Chile;46;74;51;73;54;72;82;61;83;60;52;67
32;China;177;21;177;22;177;21;175;25;179;23;172;23
33;Colombia;129;57;130;57;134;56;145;42;139;45;119;50
34;Comoros;56;72;75;70;84;69;83;60;75;62;71;61
35;Congo;117;64;118;63;118;61;93;59;81;60;69;63
36;Costa rica;10;88;7;89;5;91;8;86;23;80;26;76
37;Croatia;64;71;59;71;56;72;48;70;42;72;48;69
38;Cuba;169;36;171;36;171;36;173;27;172;29;168;26
39;Cyprus;28;78;27;80;26;80;65;66;55;69;65;63
40;Czech Republic;40;75;40;76;40;77;20;81;14;84;17;80
41;Congo;154;48;150;51;149;51;125;48;124;49;123;49
42;Denmark;5;90;3;92;4;91;2;90;3;89;2;90
43;Djibouti;173;29;176;23;176;21;164;36;162;36;161;30
44;Dominican republic;55;72;55;72;50;74;30;77;43;72;35;74
45;Ecuador;97;68;98;67;96;67;68;65;80;61;110;51
46;Egypt;163;44;166;43;166;44;168;30;166;33;170;25
47;El salvador;81;70;74;70;82;70;112;54;115;51;133;44
48;Equatorial guinea;165;42;165;44;164;44;141;44;120;50;127;46
49;Eritrea;178;20;178;16;180;19;179;20;174;28;180;17
50;Estonia;11;88;14;87;15;85;4;89;8;85;6;86
51;Eswatini;147;51;141;55;141;54;131;46;111;53;85;58
52;Ethiopia;110;65;99;67;101;66;114;51;130;48;141;41
53;Fiji;52;73;52;73;55;72;102;57;89;59;44;71
54;Finland;2;92;2;92;2;93;5;88;5;88;5;87
55;France;32;78;34;77;34;77;26;79;24;79;21;79
56;Gabon;115;64;121;63;117;61;105;56;94;58;56;66
57;Gambia;92;69;87;69;85;69;50;69;46;71;58;66
58;Georgia;60;71;60;71;60;71;89;59;77;62;103;53
59;Germany;13;85;11;88;13;85;16;82;21;82;10;84
60;Ghana;27;79;30;78;30;79;60;67;62;66;50;68
61;Greece;65;71;65;71;70;71;108;56;107;55;88;57
62;Guatemala;116;64;116;64;116;62;124;48;127;48;138;42
63;Guinea;107;67;110;66;109;65;84;60;85;60;78;60
64;Guinea-bissau;89;69;94;68;95;67;92;59;78;62;92;56
65;Guyana;51;73;49;73;51;74;34;76;60;68;77;60
66;Haiti;62;71;83;70;87;69;70;65;99;57;93;56
67;Honduras;146;51;148;52;151;51;165;35;169;33;146;38
68;Hong kong;73;70;80;70;80;70;148;42;140;45;135;43
69;Hungary;87;70;89;69;92;68;85;60;72;63;67;63
70;Iceland;14;85;15;85;16;85;15;83;18;83;18;80
